citation_id,interpretation_id,source_id,"sequence_identifier","passage"
citation_esiodo_5,int_chimera_esiodo,source_teogonia,"""Lines 319-325""","""Essa partorì Chimera spirante un fuoco irresistibile, / tremenda e grande e veloce e forte, / che aveva tre teste: una di leone dagli occhi fieri, / un'altra di capra, un'altra ancora di serpente, di forte drago, / [davanti leone, dietro serpente, in mezzo capra, / spirante impeto terribile di fuoco ardente]. / La uccisero Pegaso e il valoroso Bellerofonte.'"""
citation_flaubert_1,int_sphinx_flaubert,source_flaubert_tentation,"""Chapter 7""","""Di fronte, sull’altra sponda del Nilo, ecco apparire la Sfinge. Allunga le zampe, scuote le bende dalla sua fronte, e si accuccia sul ventre. Saltando, volando, sputando fuoco dalle narici [...]."""
citation_flaubert_2,int_manticore_flaubert,source_flaubert_tentation,"""Chapter 7""","""La manticora (gigantesco leone rosso, dal volto umano, con tre filari di denti): / - I marezzi del mio pelame scarlatto si confondono col riverbero delle grandi sabbie. Soffio dalle narici lo spavento delle solitudini. Sputo la peste. Mangio gli eserciti, quando s'avventurano nel deserto. / - Ho le unghie ritorte a succhiello, i denti tagliati a sega; e la mia coda roteante è irta di dardi che lancio a destra, a sinistra, in avanti, in dietro. Guarda! Guarda! / (La manticora lancia le spine della coda, che s'irradiano come frecce in tutte le direzioni. Gocce di sangue piovono schioccando sul fogliame)."""
citation_flaubert_3,int_antlion_flaubert,source_flaubert_tentation,"""Chapter 7""","""Lion in its foreparts, ant in its hindparts, with the organs of its sex the wrong way."""
citation_gospodinov_1,int_minotaur_gospodinov,source_gospodinov_fisica_della_malinconia,,"""Il trauma non viene dal fatto che sembri una bestia, ma che in qualche modo sia umano. Proprio la sua umanità è sconvolgente. Il suo corpo è quello di un ragazzo, proprio come il mio. La prima peluria dell'adolescenza sulle gambe, i piedi con le dita lunghe, chissà perché mi aspettavo di vedere degli zoccoli."""
citation_ibsen_1,int_troll_ibsen,source_peer_gynt,"""Act II""","""The Old Man: What difference is there 'twixt trolls and men? / Peer: No difference at all, as it seems to me. / Big trolls would roast you and small trolls would claw you; - / With us it were likewise, if only they dared."""
citation_isidore_1,int_unicorn_isidore,source_etymologies,"""Book 12""","""The unicorn [unicornus], because it has a single four-foot horn in the middle of its forehead, so sharp and strong that it tosses in the air or impales whatever it attacks."""
citation_isidore_2,int_goat_isidore,source_etymologies,,"""The kid is so called from eating, for the young ones are very juicy and pleasing in flavor. Whence also eat and foodstuffs are named. Some people have said he-goats and she-goats are named from their cropping of bushes, others because they ‘hold to uneven places’. Some say it derives from the creaking of their legs, whence also they are often called crepae. They dwell in the high mountains, and even from a great distance they can still see anyone who is approaching."""
citation_isidore_3,int_scorpion_isidore,source_etymologies,"""Book XI, paragraph 4""","""Indeed, many creatures naturally undergo mutation and, when they decay, are transformed into different species – for instance... scorpions from crabs. Thus Ovid: If you take its curved arms from a crab on the shore a scorpion will emerge and threaten with its hooked tail. Scorpions are land vermin; they are counted more appropriately among the vermin than among the snakes. The scorpion is an animal armed with a sting, and was named from this in Greek, because it stings with its tail and infuses venom through the bow-shaped wound. It is characteristic of the scorpion that it does not attack the palm of the hand. If ten crabs are tied with basil, all of the scorpions in that area will gather together."""
citation_isidore_4,int_fish_isidore,source_etymologies,"""Book XII, paragraph 6""","""Fish have their name from feeding. Some fish are amphibious, able to swim and to walk on land. Beasts and birds were named first, because they are easily seen; when fish were named, the names were often related to similar land animals, by shape or color or habit. According to David the Psalmist, the sea contains fish without number."""
citation_isidore_5,int_antlion_isidore,source_etymologies,"""Book XII, paragraph 3""","""The ant-lion is so called either because it is equally lion and ant, or because it is the lion of ants. It is a small animal that is hostile to ants; it hides in the sand and kills other ants that are carrying grain. In this way it is like a lion to ants though it is like an ant to other animals."""
citation_isidore_6,int_basilisk_isidore,source_etymologies,"""Book XII, paragraph 4""","""Basilisk (basiliscus) is a Greek word, translated into Latin as “little king” (regulus), because it is the king of the snakes, so that they flee when they see it because it kills them with its odor – it also kills a human if it looks at one. [...] It is half a foot in length, and marked with white spots."""
citation_isidore_7,int_centaur_isidore,source_etymologies,"""Book XI, paragraph 3""","""Their appearance gave their name to the Centaurs, that is, a man combined with a horse. Some say that they were horsemen of Thessaly, but because, as they rushed into battle, the horses and men seemed to have one body, they maintained the fiction of the Centaurs."""
citation_isidore_8,int_onocentaur_isidore,source_etymologies,"""Book XI, paragraph 3""","""The Onocentaur is so called because it seems to look half like a human, half like an ass. Likewise the Hippocentaur, which is thought to combine the natures of horse and human in itself."""
citation_job_4_11,int_antlion_septuagint,source_septuagint,"""Job 4:11""","""The lion perishes for lack of prey."""
citation_lattanzio_1,int_phoenix_lattanzio,source_ave_phoenice,,"""In this grove, in these woods, dwells the peerless bird, the Phoenix, peerless, since she lives renewed by her own death. An acolyte worthy of record, she yields obedience and homage to Phoebus: such the duty that parent Nature assigned to her for observance. Soon as saffron Aurora reddens at her rising, soon as she routs the stars with rosy light, thrice and again that bird plunges her body into the kindly waves, thrice and again sips water from the living flood. Soaring she settles on the topmost height of a lofty tree which alone commands the whole of the grove, and, turning towards the fresh rising of Phoebus at his birth, awaits the emergence of his radiant beam. [...] She it is also who marks off the swift hours by day and night in sounds which may not be described, priestess of the grove and aweinspiring ministrant of the woods, the only confidant of thy mysteries, Phoebus. When she has already fulfilled a thousand years of life and long lapse of time has made it burdensome to her, she flees from her sweet and wonted nest in the grove, so that in the closing span she may restore her bygone existence, and when in passion for re-birth she has left her sacred haunts, then she seeks this world where Death holds sovereignty. Despite her length of years she directs her swift flight into Syria, to which she herself of old gave the name of Phoenice, and seeks through desert wilds the care-free groves, here where the sequestered woodland lurks among the glades. Then she chooses a palm-tree towering with airy crest which bears its Greek name Phoenix from the bird: against it no hurtful living creature could steal forth, or slippery serpent, or any bird of prey. [...] Meanwhile her body, by birthgiving death destroyed, is aglow, the very heat producing flame and catching fire from the ethereal light afar : it blazes and when burned dissolves into ashes. These ashes she welds together, as if they were concentrated by moisture in a mass, possessing in the result what takes the place of seed. Therefrom, 'tis said, rises a living creature first of all without limbs, but this worm is said to have a milky colour: when suddenly at the appointed hour it has grown enormously, gathering into what looks like a rounded egg, from it she is remoulded in such shape as she had before, bursting her shell and springing to life a Phoenix; 'tis even so that larvae in the country fastened by their threads to stones are wont to change into a butterfly."""
citation_machiavelli_1,int_mandrake_machiavelli,source_mandragola,"""Act II, scene 6""","""Voi avete ad intender questo, che non è cosa più certa ad ingravidare una donna che dargli bere una pozione fatta di mandragola. Questa è una cosa esperimentata da me dua paia di volte, e trovata sempre vera; e, se non era questo, la reina di Francia sarebbe sterile, ed infinite altre principesse di quello stato."""
citation_maier_1,int_sphinx_maier,source_atalanta_fugiens,"""Emblem 39""","""For Sphinx is a certain kind of monster most obscure to the Thebans, propounding riddles, nor only to them, but as before to the Egyptians, so after all others to those that aspire to art, and watches in the Philosophers books as before the gates of Thebes; if any man can pass by the monster, he suffers no evil by him, but he that through presumption of mind or wit endeavors to resolve his riddles, and cannot perform, acquires his own destruction, that is, grief to the heart, and damage to his affairs by error in this work."""
citation_maier_2,int_lion_maier,source_atalanta_fugiens,"""Emblem 37""","""The Lion green, white fume, and stinking juice, Are all that to our Process do conduce: Water the mother is of the Elements, And the sole matter of the Sophic Ens. This Lion is the Hermetic Stone and Brass, And the white fume a watery nature has."""
citation_martin_1,int_dragon_martin,source_got_2,"""Chapter 12""","""Their span was three times their length, each wing a delicate fan of translucent skin, gorgeously colored, stretched taut between long thin bones. When you looked hard, you could see that most of their body was neck, tail, and wing. Such little things, she thought as she fed them by hand, or rather, tried to feed them, for the dragons would not eat. They would hiss and spit at each bloody morsel of horsemeat, steam rising from their nostrils, yet they would not take the food . . . until Dany recalled something Viserys had told her when they were children."""
citation_moore_1,int_elf_moore,source_st_Nicholas,,"""He was chubby and plump, a right jolly old elf, / And I laughed when I saw him, in spite of myself;"""
citation_nietzsche_1,int_satyr_nietzsche,source_nietzsche_ndt,"""Chapter 8""","""Così nasce quindi la figura fantastica e tanto ripugnante del satiro sapiente ed entusiasta che, nello stesso tempo, in contrapposto al dio, è «il tonto uomo»: immagine della natura e dei suoi più forti istinti, vero simbolo di lei e, insieme, annunziatore della sua scienza ed arte; musico, poeta, danzatore tutto in uno, e contemplatore di spiriti."""
citation_norske_folkeeventyr_1,int_troll_norske_folkeeventyr,source_norske_folkeeventyr,,"""On the way up was a bridge over a burn they had to cross; and under the bridge lived a great ugly Troll, with eyes as big as saucers, and a nose as long as a poker."""
citation_omero_1,int_siren_omero,source_odissea_omero,"""Book XII, verses 39-46""","""Alle Sirene presso tu giungere devi anzitutto, / che tutti quanti gli uomini incantan che giungono ad esse. / Chi s’avvicina a loro, mal cauto, ed ascolta la voce / delle Sirene, quello non mai la sua sposa ed i figli / piú lo vedranno tornare, diletto mai piú non ne avranno; / ma le Sirene, incanto gli fan con le limpide voci, / sedute sopra un prato. D’intorno c’è d’ossa un gran mucchio, / d’uomini putrescenti, di scheletri e pelli aggrinzite."""
citation_omero_2,int_chimera_omero,source_iliade_omero,"""Book VI, verses 180-184""","""Era il mostro di origine divina, / leone la testa, il petto capra, e drago / la coda; e dalla bocca orrende vampe / vomitava di foco: e nondimeno, /col favor degli Dei, l'eroe la spense.'"""
citation_ovid_met_1,int_minotaur_ovidius,source_ovidius_metamorphoses,"""Book VIII, verses 155-156""","""L’essere che era il disonore della stirpe era già divenuto adulto e il turpe / adulterio della madre diveniva evidente a causa della singolarità del mostro biforme"""
citation_ovid_met_10,int_snake_ovid_2,source_ovidius_metamorphoses,"""Book II, verses 28-92""","""C'era una foresta antica, inviolata dalla scure, e in mezzo, tra un intrico di rami e virgulti, una spelonca, dove, sotto una bassa volta sorretta da un ammasso di pietre, sgorgava abbondante l'acqua. Qui stava rintanato un serpente generato da Marte e screziato di squame d'oro: saettano fuoco gli occhi, gonfio tutto di veleno è il suo corpo, e in mezzo a tre file di denti guizzano tre lingue. In questo bosco per sventura s'inoltrò la gente venuta da Tiro. L'anfora calata nell'acqua fece un tonfo, ed ecco che livido il serpente dal fondo dell'antro trae fuori il capo vomitando sibili orrendi. Sfuggono le anfore dalle mani, esangue si fa il corpo e un tremito improvviso pervade le membra irrigidite. Con rapide volute il mostro avvolge in spire le sue squame e con un guizzo si tende in archi immensi; ergendosi con oltre metà del suo corpo nel vuoto dell'aria, domina tutto il bosco: tanto è grande, se tu lo vedessi intero, quanto il Serpente che separa le due Orse. Poi di colpo s'avventa sui Fenici, o che s'apprestino a combattere, a fuggire o che il terrore impedisca loro entrambe le azioni: e questi li uccide coi morsi, quelli tendendo le spire, altri infine infettandoli col miasma mortale del suo veleno. Già il sole altissimo aveva ridotto le ombre a un filo: stupito del ritardo dei compagni, il figlio di Agenore allora si mise a cercarli. Addosso portava la pelle strappata a un leone, per armi un'asta smagliante di ferro, un dardo e, più efficace di qualsiasi arma, il suo coraggio. Come penetrò nel bosco e vide i cadaveri e su questi lo smisurato avversario che vittorioso leccava le macabre ferite con la lingua lorda di sangue: 'O vendicherò la vostra morte, fedelissimi miei,' esclamò, 'o vi sarò compagno'. Disse, e con la destra sollevò un macigno e grande quant'era con gran furia lo scagliò. Quell'urto avrebbe raso al suolo anche le mura più massicce con le sue torri svettanti: incolume rimase il serpente; le squame compatte della sua pelle nera, che lo proteggevano come una corazza, respinsero quel colpo spaventoso. Ma la sua corazza non valse contro il dardo, che si conficcò in mezzo alla spina dorsale, dove questa flettendosi s'inarca, e penetrò con tutto il ferro nelle viscere. Pazzo di dolore il serpente torse il capo verso il dorso e scorta la ferita, addentò l'asta che vi era confitta e, dopo averla scossa con violenza da ogni parte, alla fine la divelse, ma il ferro gli rimase nelle ossa. Allora che al suo furore abituale si aggiunse nuovo sprone, un flusso di sangue gli gonfiò la gola, una bava biancastra gli spumeggiò intorno alle fauci letali; graffiata dalle sue squame la terra stridette e l'alito nero che gli usciva dalla bocca infernale ammorbò di fetore l'aria. Ora si raggomitola in spire che descrivono archi immensi, mentre a volte s'inerpica più dritto di un alto fusto, ora con impeto immane, come un fiume ingrossato dalle piogge, si lancia e col petto abbatte ogni ostacolo che nella selva incontra. Il figlio di Agenore arretra un po' e nelle spoglie del leone sostiene l'assalto, con la lancia protesa tiene a bada la bocca che lo incalza. Quello infuria, a vuoto avventa morsi contro il duro ferro e ficca i suoi denti nella punta. Dal suo palato gonfio di veleno ormai il sangue cominciava a stillare, schizzando di macchie il verde dell'erba. Ma era ferita leggera, perché il mostro sfuggiva ai colpi piegando indietro il collo offeso e arretrando impediva all'arma di piantarsi e di penetrare più a fondo; finché il figlio di Agenore, puntandogli l'asta contro la gola, non lo incalzò da presso e, quando alle sue spalle nel ritrarsi si parò una quercia, insieme trafisse collo e tronco."""
citation_ovid_met_11,int_bull_ovid,source_ovidius_metamorphoses,"""Book II, verses 843-568""","""Così dice. E già i buoi scacciati dal monte si dirigono, come ha ordinato, verso la spiaggia, dove la figlia del grande re è solita giocare col suo seguito di fanciulle di Tiro. Maestà ed amore non vanno molto d'accordo, non possono convivere. Perciò, lasciato lo scettro solenne, il padre e signore degli dèi, colui che ha la destra armata di fulmini a tre punte, che con un cenno fa tremare il mondo, assume l'aspetto di un toro e mescolatosi alle giovenche mugge e gironzola, bello, sul terreno prato. Il colore è proprio quello della neve non calcata dalla pianta di duro piede, non sciolta dall'Austro piovoso. Il collo è rigonfio di muscoli, dalle scapole pende la giogaia. Le corna, è vero, sono piccolette, ma così ben fatte che potresti sostenere che son fabbricate a mano, e sono più diafane di una gemma pura. Niente di minaccioso nella fronte, e lo sguardo non mette paura. Un muso tutto pace."""
citation_ovid_met_12,int_centaur_ovid,source_ovidius_metamorphoses,"""Book XII, verses 219-225""","""E infatti tu, èurito, il più feroce di quei feroci Centauri, / già infiammato dal vino, più t'infiammi vedendo la vergine, / e l'ebbrezza aggiunta alla libidine ha il sopravvento. / Rovesciate le tavole, in un attimo il banchetto va in rovina, / e la giovane, afferrata per i capelli, è trascinata via. / èurito rapisce Ippòdame; gli altri ognuno la donna che più / gli piace o quella che può: una scena da città conquistata.."""
citation_ovid_met_2,int_minotaur_ovidius,source_ovidius_metamorphoses,"""Book VIII, verse 169""","""il mostro mezzo uomo e mezzo toro"""
citation_ovid_met_3,int_siren_ovidius,source_ovidius_metamorphoses,"""Book V, verses 560-567""","""Forse perché Proserpina coglieva i fiori / primaverili, eravate nel numero delle sue compagne, / dotte Sirene? Dopo che inutilmente l'avete cercata / per tutto il mondo, / avete desiderato, perché il mare sentisse la vostra pena / di potervi fermare sulle onde col remeggio delle ali, / e avendo il consenso degli dèi, avete visto / improvvisamente i vostri arti fiorire di penne; / ma perché il vostro canto, nato a blandire le orecchie, / e il tesoro della vostra bocca non perdesse l'uso / della lingua, vi restò volto di vergini e voce umana."""
citation_ovid_met_4,int_giant_ovidius,source_ovidius_metamorphoses,"""Book I, verses 151-160""","""Rendering the heights of heaven no safer than the earth, they say the giants attempted to take the Celestial kingdom, piling mountains up to the distant stars. Then the all-powerful father of the gods hurled his bolt of lightning, fractured Olympus and threw Mount Pelion down from Ossa below. Her sons’ dreadful bodies, buried by that mass, drenched Earth with streams of blood, and they say she warmed it to new life, so that a trace of her children might remain, transforming it into the shape of human beings. But these progeny also despising the gods were savage, violent, and eager for slaughter, so that you might know they were born from blood."""
citation_ovid_met_5,int_hermaphrodite_ovidius,source_ovidius_metamorphoses,"""Book IV, verses 373-379""","""Now the entwined bodies of the two were joined together, and one form covered both. Just as when someone grafts a twig into the bark, they see both grow joined together, and develop as one, so when they were mated together in a close embrace, they were not two, but a two-fold form, so that they could not be called male or female, and seemed neither or either."""
citation_ovid_met_6,int_phoenix_ovidius,source_ovidius_metamorphoses,"""Book XV, verses 392-402""","""Unico a riseminarsi e rigenerarsi da sé è un uccello che gli Assiri chiamano 'fenice'. Non di chicchi di grano né di erbe vive la fenice, ma di lacrime d'incenso e di succo d'amomo, e quando ha compiuto cinque secoli di vita, se ne va in cima a una tremula palma e con gli artigli e col suo becco incontaminato si costruisce un nido tra il fogliame. Appena ha steso sul fondo uno strato di cassia e di spighe di nardo delicato, di cannella sminuzzata e di mirra bionda, vi si adagia sopra e chiude la sua esistenza in mezzo ai profumi. Allora, si dice, dal corpo paterno rinasce una piccola fenice, la quale dovrà vivere altrettanti anni."""
citation_ovid_met_7,int_medusa_ovid,source_ovidius_metamorphoses,"""Book IV, verses 769-803""","""Ed ora tu, fortissimo Perseo, / racconta, ti prego, con qual valore e quali stratagemmi / mozzasti quella testa irta di serpenti'. / L'erede di Agenore narra come ai piedi del gelido Atlante / si distenda un luogo protetto da un bastione invalicabile, / e come al suo ingresso abitassero due gemelle, / figlie di Forco, che si dividevano l'uso di un occhio solo; / come lui con destrezza glielo carpì, inserendo la propria mano / mentre se lo scambiavano; come attraverso sentieri sperduti / e impervi, attraverso orridi nell'intrico di foreste, / giunse alla casa di Gòrgone, e qua e là in mezzo ai campi, / nei sentieri gli avvenne di vedere figure di uomini e belve / mutati da esseri vivi in granito per aver visto Medusa. / Ma lui aveva scorto, riflessa nel bronzo dello scudo / che reggeva col braccio sinistro, l'orrenda immagine, / e mentre un sonno pesante gravava sui serpenti e su lei stessa, / le spiccò il capo dal collo: quasi fosse linfa materna / dal sangue nacquero Pegaso, l'alato destriero, e suo fratello. / Ed enumera i veri pericoli corsi nel suo lungo viaggio; / quali mari e quali terre abbia intravisto dall'alto, / quali stelle abbia raggiunto col suo battito d'ali. / Ma prima del previsto s'interrompe. Uno dei presenti interviene / allora chiedendo perché solo Medusa / fra le sorelle avesse serpenti in mezzo ai capelli. / E l'ospite risponde: 'Visto che vuoi sapere cosa che merita / raccontare, eccoti il perché. Di eccezionale bellezza, / Medusa fu desiderata e contesa da molti pretendenti, / e in tutta la sua persona nulla era più splendido dei capelli: / ho conosciuto chi sosteneva d'averla vista. / Si dice che il signore del mare la violasse in un tempio / di Minerva: inorridita la casta figlia di Giove con l'egida / si coprì il volto, ma perché il fatto non restasse impunito / mutò i capelli della Gòrgone in ripugnanti serpenti. / Ancor oggi la dea, per sbigottire e atterrire i nemici, / porta davanti, sul petto, quei rettili che lei stessa ha creato."""
citation_ovid_met_8,int_eagle_ovid,source_ovidius_metamorphoses,"""Book X, verses 155-161""","""Ci fu una volta che il re degli dèi s'infiammò d'amore per il frigio Ganimède, ed ebbe l'idea di trasformarsi in una cosa che, una volta tanto, gli parve più bella che essere Giove: un uccello. Ma, fra tutti gli uccelli, non si degnò di trasformarsi che in quello capace di portare i fulmini, le armi sue. Detto fatto: battendo l'aria con false penne, rapì il giovinetto della stirpe di Ilo, che tuttora gli riempie i calici e gli serve il nèttare, con rabbia di Giunone."""
citation_ovid_met_9,int_snake_ovid,source_ovidius_metamorphoses,"""Book IV, verses 563-603""","""Cadmo figlio di Agenore non sa che la figlia e il nipotino sono diventati divinità marine. Vinto dal dolore, da quella serie di sciagure e dai tanti prodigi che ha visto, il fondatore di Tebe parte dalla sua città, come se la maledizione gravasse sul luogo invece che su di lui. Dopo aver errato a lungo, in fuga con la moglie giunge nella regione degli Illiri. E mentre, oppressi ormai dalle sventure e dagli anni, conversano rievocando gli eventi del casato e rivangano i loro guai, Cadmo osserva: 'Forse era un serpente sacro quello che, al tempo in cui lasciammo Sidone, io trafissi con la lancia, spargendone al suolo, come assurda semente, i denti velenosi. Se è volontà degli dei vendicarlo con ira così spietata, possa io strisciare lungo il ventre come un serpente'. Disse, e come un serpente si distese lungo il ventre, sentendo che sulla pelle indurita gli spuntano squame, che il corpo si fa nero e si chiazza di macchie azzurre. Caduto prono sul petto, le gambe si fondono insieme e a poco a poco si assottigliano in una punta affilata. Non gli restano che le braccia, e le braccia, finché gli restano, tende, con le lacrime che gli scorrono sul viso ancora umano: 'Accòstati, moglie mia,' dice, 'accòstati, moglie mia infelice, e finché qualcosa di me sopravvive, toccami, prendimi la mano, finché è tale, finché il serpente tutto non mi pervade!'. Vorrebbe, sì, dire di più, ma la lingua si scinde a un tratto in due, le parole che ha in animo di dire si spengono e ogni volta che cerca di emettere un lamento, sibila: questa è l'unica voce che natura gli lascia. Colpendosi con le mani il petto ignudo, la moglie grida: 'Cadmo, no, no! spògliati, sventurato, di questa forma mostruosa! Cadmo, che accade? dove sono i piedi? e le spalle, le mani, il tuo colore e, mentre parlo, il viso e ciò che resta? Perché mai, dei del cielo, non mutate anche me in un serpente uguale?'. Così protesta, e lui lambisce il volto della moglie, s'insinua in quel suo seno adorato, come se lo riconoscesse, e avvolgendola in un abbraccio, cerca il collo che gli è familiare. Tutti i presenti, i loro compagni, guardano atterriti; ma lei accarezza il collo viscido di quel serpente crestato e di colpo sono in due a strisciare intrecciando le spire, finché non si nascondono nel folto di un bosco vicino. Ancor oggi non fuggono l'uomo o l'aggrediscono per ferirlo: serpenti innocui, che non possono scordare chi furono un tempo."""
citation_paré_1,int_mostro_paré_1,source_monstres_prodiges,"""Capitolo 3: Esempi dell'ira di Dio""","""Una prova ulteriore: al tempo in cui papa Giulio II causò tante calamità in Italia, quando cioè mosse guerra a Luigi XII (1512) - guerra nel corso della quale presso Ravenna fu combattuta una cruenta battaglia - ebbene, poco tempo dopo nacque nella medesima città un essere mostruoso con un corno in testa, due ali e con un unico piede simile a quello di un uccello da preda, con un occhio che si apriva in corrispondenza dell'articolazione del ginocchio, e inoltre era partecipe sia della natura maschile che di quella femminile [...]."""
citation_paré_2,int_anomaly_paré_1,source_monstres_prodiges,"""Capitolo 9: Esempi di mostri craeti dall'immaginazione""","""Damasceno - un autore serio - afferma di aver visto una ragazza pelosa come un orso, uscita dal ventre della madre così deforme e orripilante perché questa al momento di concepirla aveva guardato troppo intensamente l'immagine di un san Giovanni vestito di pelli e pieno di peli che era collocata ai piedi del letto."""
citation_paré_3,int_mostro_paré_2,source_monstres_prodiges,"""Capitolo 36: Dei mostri terrestri""","""[...] dice che in Africa si trova un animale che i selvaggi chiamano haiit, molto deforme; chi lo vede stenta a credere che esista una bestia tale. Può raggiungere la grandezza di un grosso guenon. La sua pancia pende quasi fino a terra anche quando sta ritto. Il suo viso e la testa sono pressoché uguali a quelli di un bambino. Questo haiit, se viene catturato, getta dei profondi sospiri paragonabili a quelli che un uomo afflitto da un grande ed eccessivo dolore emetterebbe. È di color grigio e ha solo tre artigli per zampa lunghi quattro dita e fatti a forma delle ossa di una carpa; con questi artigli, che sono taglienti tanto quanto - o anche più taglienti - di quelli di un leone o di altre bestie crudeli, egli monta sugli alberi, dove preferisce vivere piuttosto che in terra. La sua coda è lunga solo tre dita. È inoltre strano che nessun uomo abbia mai potuto dire di averlo visto mangiare cosa alcuna, sebbene i selvaggi ne abbiano tenuto a lungo alcuni nelle proprie capanne per vedere se avrebbero mangiato qualcosa; i selvaggi dicevano che vivevano di vento."""
citation_paré_4,int_mostro_paré_3,source_monstres_prodiges,"""Capitolo 19: Esempi della commistione e della mescolanza del seme""","""Nel 1493 venne concepito e generato un bambino da una donna e da un cane. Le parti sopra l'ombelico erano nella forma e nell'aspetto simili alla madre ed era in tutto e per tutto completo senza che la Natura avesse omesso nulla; dall'ombelico in giù tutte le parti inferiori assomigliavano, nella forma e nell'aspetto, all'animale che era il padre. Questo essere fu inviato al Papa che regnava in quel periodo."""
citation_paré_5,int_anomaly_paré_2,source_monstres_prodiges,"""Capitolo 19: Esempi della commistione e della mescolanza del seme""","""Nell'anno in corso 1577 nacque, nel villaggio chiamato Blandy, a una lega e mezzo da Melun, un agnello con tre teste in una; quella di mezzo era più grossa delle altre e quando una di queste teste belava, le altre facevano la stessa cosa. Maestro Jean Bellanger, un chirurgo abitante della città di Melun, afferma d'averlo visto e di averne fatto ritrarre l'aspetto; il ritratto fu messo all'asta e fu venduto qui a Parigi col privilegio assieme a quelli di altri due mostri: uno di due figlie gemelle e un altro con la faccia di rana raffigurato in un'immagine precedente."""
citation_paré_6,int_mostro_paré_4,source_monstres_prodiges,"""Capitolo 34: Ora parliamo di mostri marini""","""Gesner menziona questo mostro marino, di cui aveva ottenuto il ritratto da un pittore che lo aveva visto nel suo ambiente naturale in Antwerp: aveva una testa molto selvaggia con due corna, le orecchie lunghe e il resto del corpo da pesce, con l'eccezione delle braccia che erano quasi normali. Fu catturato nel mare Illirico quando si gettò sulla spiaggia nel tentativo di prendere un piccolo bambino che era lì vicino; inseguito da alcuni marinai che l'avevano visto, fu ferito a colpi di sassi e poco dopo venne sulla banchina a morire."""
citation_paré_7,int_mostro_paré_5,source_monstres_prodiges,"""Capitolo 34: Ora parliamo di mostri marini""","""Questo mostro marino, con la testa, la criniera e il davanti equino fu visto nel mare Oceano; il suo ritratto fu portato a Roma al papa allora regnante."""
citation_paré_8,int_anomaly_paré_3,source_monstres_prodiges,"""Capitolo 8: Esempi di carenza di seme""","""Il primo novembre 1562 nacqua a Villefranche de Beyan in Guascogna questo mostro senza testa. L'immagine frontale e dorsale qui riprodotta mi è stata fornita dal Signor Hautin, medico reggente nella Facoltà di Medicina di Parigi, che mi ha assicurato di averlo visto."""
citation_paré_9,int_anomaly_paré_4,source_monstres_prodiges,"""Capitolo 4: Esempi di eccesso di seme""","""A proposito della genesi dei mostri, Ippocrate afferma che una eccessiva quantità di materia può generare un numero eccessivo di nati, oppure un infante mostruoso con parti superflue e inutili, tipo due teste, quattro braccia, quattro gambe, sei dita nelle mani o nei piedi, eccetera. [...] Sarà opportuno ricordare a questo punto che a proposito di questa donna-mostro Licostene aggiunge una notizia strabiliante: raddoppiandone la testa, la natura non aveva tralasciato nulla, tant'è che le due teste, egli dice, avevano lo stesso desiderio di bere, di mangiare, e di dormire e uguali erano il loro modo di parlare e il loro modo di sentire. Questa ragazza andava a chiedere l'elemosina di casa in casa e la gente le offriva volentieri qualcosa per l'eccezionalità del fenomeno, così straordinario e nuovo. Ciononostante, trascorso un po' di tempo, ella fu bandita dal ducato di Baviera perché si era diffusa la voce che la sua presenza poteva deformare il frutto delle donne gravide, in quanto l'aspetto di questa creatura così mostruosa poteva imprimere e fissare la propria forma nella loro immaginativa."""
citation_perrault_1,int_fairy_perrault,source_cinderella_perrault,"""Tale VI, Cinderella ""","""Well, be but a good girl, and I will contrive, that thou shalt go. Run into the garden, and bring me a pumpkin."""
citation_peter_pan_1,int_fairy_disney,source_peter_pan ,,"""Tink was not all bad: or, rather, she was all bad just now, sometimes she was all good. Fairies have to be one thing or the other, because being so small they unfortunately have room for one feeling only at a time."""
citation_pharsalia_1,int_basilisk_lucano,source_pharsalia,"""Book IX""","""Quel suol però sí sterile, e que' campi / Di niun bene fecondi, un tosco atroce / Concepiscono in lor dalle corrotte Gocciole di Medusa [...] Ivi dispiega [...] e'l Basilisco horrendo / (Che Sibili tramanda, onde rimane / Ogni serpe atterrito, e pria che sparga / Il veleno, dà morte) il serpentino / Volgo da sé rimove, e in vuote arene / Solo il regno ritien."""
citation_physiologus_1,int_antlion_physiologus,source_physiologus,,"""It had the face (or fore-part) of a lion and the hinder parts of an ant. Its father eats flesh, but its mother grains. If they engender the ant-lion, they engender a thing of two natures, such that it cannot eat flesh because of the nature of its mother, nor grains because of the nature of its father. It perishes, therefore, because it has no nutriment."""
